code	creator	created_t	last_modified_t	product_name	quantity	manufacturing_places	stores	countries	ingredients_text
3560070262250	miles67off	1373407002	1434805613	Filets de sardines (aux herbes de Provence)	100 g (65 g de poisson)	Conserverie Chancerelle - ZI de Lannugat - 29100 Douarnenez,Finistère,Bretagne,France	Carrefour	France	Filets de sardines (Sardina pilchardus), eau, vinaigres de vin et d'alcool, vin blanc, sel, oignon, sucre, arômes naturels, herbes déshydratées (herbes de Provence 0,04 %, persil 0,03 %), épaississant : gomme guar.
3560070856077	teolemon	1419771921	1444057635	Fish'n Chips	550 g	France	Carrefour	France	Pommes de terre préfrites 55% : pommes de terre 94%*, huiles de tournesol et colza  *Le pourcentage est exprimé sur les pommes de terre préfrites  Filet de colin d'Alaska MSC enrobé d'une pâte à beignet préfrit 45% : filet de colin d'Alaska 65% (Theragra chalcogramma pêché en Océan Pacifique)  Pâte à beignet 35%* (eau, huiles de tournesol et colza, farine de blé, farine de maïs, amidon de blé, amidon modifié de maïs, gluten de blé, sel, poudres à lever : diphosphate et carbonate de sodium, dextrose)  *Les pourcentages sont exprimés sur le filet de colin d'Alaska enrobé
3560070330201	phoenix	1449681356	1451151658	Flageolets Extra fins	400 g (Poids net égoutté : 265 g)		Carrefour	France	Flageolets verts, eau, sel
3245412885174	phoenix	1440784472	1446395919	Fusili Cuisson rapide 3mn Al dente	500g	Italie,Valdigrano Srl	Carrefour	France	Semoule de _blé_ dur de qualité supérieure
3560070224494	domdom26	1430403291	1430502771	Gelée de framboises	370 g		Carrefour	France	jus concentré de framboises, sucre, eau, sucre, de canne, gélifiant : pectines, acidifiant : acide citrique
3560070514458	sebleouf	1453366504	1453367898	Gouda	200 g	Pays-Bas	Carrefour	France	_Lait_ de vache pasteurisé biologique, sel, ferments _lactiques_, coagulant microbien.
3560070788613	sebleouf	1428330693	1455897453	Grenade	1 L	Laiterie de Varennes (Filiale Laiterie de Saint-Denis-de-l'Hôtel - LSDH) - 6 Rue de la Bordé - 36210 Val-Fouzon,Indre,Laiterie de Saint-Denis-de-l'Hôtel (LSDH) - 10 Route de l'Aérodrome - Les Grandes Beaugines - 45550 Saint-Denis-de-l'Hôtel,Loiret,Centre-Val de Loire,France	Carrefour	France	Eau, jus de grenade à base de concentré (35 %), sucre, arôme naturel de grenade, jus d’aronia à base de concentré (2 %), acidifiant : acide citrique.  
3270190208211	bidinaute	1366916939	1476864508	Grignottes de Poulet	250 grs		carrefour	France	
3245414264410	sebleouf	1452971771	1474542511	Haché de veau moelleux	200 g		Carrefour	France	Viande hachée de veau 99 %, dextrose, antioxydant : ascorbate de sodium.
3245412438523	sebleouf	1448387852	1463741872	Iced Tea Zéro saveur Pêche	1,5 L	France	Carrefour City,Carrefour	Belgique,France	Eau de source (98,9%), jus de pêche à base de concentré (0,6%), acidifiant : acide citrique, extrait de thé (1 g/L), correcteur d'acidité : citrates de sodium, arôme naturel, antioxydant : acide ascorbique, édulcorants : acésulfame-K et sucralose.
3560070495979	openfoodfacts-contributors	1473958549	1482149115	Jambon Cuit Supérieur au Torchon avec Couenne	240 g	France	Carrefour	France	Jambon de porc issu d'animaux nourris sans OGM (&lt;0,9%), sel, bouillons aromatiques (eau, os et viande de porc, oignon, ail, poivre, muscade, thym, laurier, clou de girofle), sirop de glucose, antioxydant : isoascorbate de sodium, conservateur : nitrite de sodium.
3560070912209	date-limite-app	1448884900	1452965523	Jambon Serrano	100 g	Espagne	Carrefour	France	Jambon de porc, sel, sucre, conservateurs : nitrate de potassium et nitrite de sodium, antioxydant : ascorbate de sodium.
3560070496129	stephane	1368009213	1476116600	Jambon cuit supérieur avec couenne	0,240kg		Carrefour	France	INGREDIENTS : Jambon de porc (issu d’animaux nourris sans OGM) (&lt;0.9%), sel, bouillon (eau, oignon, poivre, ail, clou de girofle, noix de muscade, thym, laurier, arôme naturel), dextrose de ble ou mais, antioxydant : érythorbate de sodium, conservateur : nitrite de sodium. - Fumé au bois de hêtre.  
3560070955138	sebleouf	1448387493	1448441279	Jambon supérieur avec couenne Fumé au bois de hêtre	160 g (4 * 40 g)	France	Carrefour	France	Jambon de porc, couenne et gras de porc, eau, sel, dextrose, sirop de glucose, arômes, antioxydant : érythorbate de sodium, conservateur : nitrite de sodium. Fumé au bois de hêtre.
3560070717712	sainmarion	1425277566	1427791284	Jus d'orange 100% pur jus pulpé	1 l		Carrefour	France	Jus d'orange, pulpe 3%.
3560070209071	jeanbono	1417637802	1417695423	Mascarpone 	250g	Italie	Carrefour	France	Crème pasteurisée, lait pasteurisé, correcteur d'acidité : acide citrique
3560070514571	miles67off	1378346482	1451841423	Mascarpone Bio (36% MG) Crémeux	250 g	Sterilgarda Alimenti S.p.A. - Via Medole 52,46043 Castoglione delle Stiviere,Mantoue,Lombardie,Italie	Carrefour	France	Crème de lait de vache pasteurisée Bio, correcteur d'acidité : acide lactique.
3560070254903	miles67off	1366127911	1461494463	Miel de la Cordillière des Andes Max Havelaar Carrefour	500 g		Carrefour	France	Miel de montagne du Chili - issu du commerce équitable, (100% du volume total).
3560070681259	phoenix	1449668667	1449669718	Mini Nems Crevette / Garnaal	260 g (8 x 30 g)	France	Carrefour	France	Nems 8x30g : Eau, farine de riz 18.7%, vermicelle de pois (eau, amidon de pois), oignon, _crevettes_ 8.5% (_crevettes_, sel, conservateur : _disulfite_ de sodium), carotte, cabillaud 5.2%, farine de _soja_, germes de haricot mungo, champignon noir réhydraté, protéine de pois, huile de tournesol, sel, sauce _poisson_ (_poisson_, sel, eau), ail réhydraté, sucre. (Pourcentages exprimés sur le nem). Sauce Nuoc Mâm 20g : eau, nuoc mâm 14% (jus de _poisson_, sel), sucre, vinaigre d'alcool, sel. Pourcentage exprimé sur la sauce
3560070744589	nicolasleger	1423999766	1424896236	Mini-Cakes aux fruits	300 g	France	Carrefour	France	Fruits confits et secs 30% (pastèque confite 14% (pastèque, sirop de glucose-fructose, sucre, conservateurs (sorbate de potassium, _anhydride sulfureux_), correcteur d'acidité (acide citirque), colorant (carmins)), raisins secs 8%, cerises confites 5% (cerises, sirop de glucose-fructose, sucre jus concentrés de fruits et de végétaux, correcteur d'acidité (acide citirque), conservateurs (sorbate de potassium, _anhydride sulfureux_)), écorces d'orange confites 3% (écorces d'orange, sirop de glucose-fructose, sucre, correcteur d'acidité (acide citirque), conservateur (anhydride sulfureux))), farine de _blé_, _oeufs_ frais 17%, huile de colza, sucre, eau, stabilisant (glycérol), arômes, émulsifiant (mono- et diglycérides d'acides gras), poudres à lever (diphosphates, carbonates de sodium), sel, épaississant (gomme xanthane)
3560070478750	miles67off	1379040232	1391373613	Mini-cakes aux fruits Raisins secs et écorces d'orange et citron confites Bio Carrefour	175 g (5 x 35 g)		Carrefour	France	Farine de blé* (contient : agent de traitement de la farine : acide ascorbique, malt de blé*), sucre blond non raffiné de canne*, oeufs*, huile de colza*, jaunes d'oeufs en poudre* réhydratés, raisins secs* 6,5% (raisins*, huile de tournesol*), écorces d'orange confites* 4,9% (sirop de glucose de maïs*, écorces d'orange* 1,3%), sirop de sucre inverti de canne*, écorces de citron confites* 2,7% (sirop de glucose de maïs*, écorces de citron* 0,7%), gomme d'acacia*, rhum, caramel aromatique* (sucre de canne*, sirop de glucose de blé*, eau), sel marin, poudres à lever : (tartrate monopotassique, carbonate acide de sodium), extrait d'orange*, extrait de vanille*. - *biologique.
3560070936526	sebleouf	1452971202	1482961187	Mont d'Or lait cru	450 g		Carrefour	France	LAIT cru, sel, ferments, présure animale.
